eid,age,gender,maritalstatus,department,jobrole,education,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,Annualincome,relationshipsatisfaction,workinghrsperday,totalworkingyearsexperience,TrainingTime,WorkLifeBalance,BehaviourialCompetence,OntimeDelivery,TicketSolvingManagements,Projectevlaution,Workingfromhomeoroffice,Psychosocialindicators,overtime,attendance,effectedwithcorona,PercentSalaryHike,Netconnectivity,PerformanceRating
LNR378,40,f,single,Sales,Sales Executive,4,3,1,2,1,21,1,8,23,1,3,1,1,5,10,office,0,yes,absent,no,7,yes,3
wcx455,45,m,married,Development,Developer,2,2,3,2,4,22,3,8,19,2,1,2,4,5,5,office,5,yes,absent,no,7,no,2
lpm691,49,m,single,Development,Developer,4,4,2,5,2,13,3,8,14,1,4,5,4,4,6,office,0,yes,absent,no,5,no,2
jBa015,26,m,married,Development,Developer,3,1,2,5,2,10,4,8,3,5,1,2,2,4,12,home,2,no,absent,yes,6,no,1
ZxF110,32,m,single,Sales,Sales Executive,3,3,1,4,3,22,4,8,17,3,1,0,2,4,10,office,3,no,present,yes,9,yes,3
Paa877,41,m,married,Development,Developer,5,2,4,2,1,23,3,8,7,4,4,5,2,4,12,home,5,no,present,no,13,yes,4
EDa192,50,m,married,Development,Developer,4,4,4,2,1,20,1,8,13,4,3,4,5,3,7,home,4,no,present,no,8,no,3
rPP652,35,f,single,Sales,Sales Executive,2,4,2,1,1,24,4,8,9,1,1,2,4,5,7,home,1,yes,absent,yes,15,no,2
zaU295,34,f,married,Development,Developer,3,4,3,5,3,13,4,8,17,1,3,4,1,1,11,home,4,yes,absent,no,9,yes,2
bUI939,34,m,married,Development,Developer,2,1,3,4,3,9,4,8,3,1,2,1,1,4,13,office,3,no,present,yes,13,no,2
xNi800,27,m,married,Development,Developer,5,1,3,1,1,10,4,8,19,5,1,4,2,3,11,office,4,no,present,yes,4,no,2
hGw108,30,m,married,Sales,Sales Representative,3,1,3,2,3,11,4,8,3,3,1,1,3,3,8,home,2,no,absent,yes,9,no,4
mEN277,31,m,married,Development,Developer,4,3,4,2,4,23,1,8,25,6,2,0,5,3,7,home,4,yes,absent,yes,14,no,3
Ojq250,48,f,single,Sales,Sales Executive,4,3,1,1,4,15,1,8,7,6,4,0,1,4,11,home,3,yes,absent,yes,3,no,2
RhZ888,46,m,married,Development,Senior Developer,4,4,1,3,1,11,3,8,12,3,3,1,5,3,5,home,2,yes,present,yes,11,no,2
Mrc587,25,m,single,Development,Senior Developer,1,3,2,4,3,12,1,8,6,1,2,5,4,5,5,office,1,no,present,yes,12,no,4
rZx799,49,m,single,Development,Developer,2,4,2,3,3,24,3,8,19,2,3,2,4,4,6,office,5,no,absent,no,9,no,3
ZTh522,32,m,married,Development,Developer,4,3,4,3,2,21,3,8,14,1,2,4,4,3,7,office,0,no,absent,no,4,no,2
Veq060,36,f,married,Development,Developer,3,4,1,3,1,22,1,8,14,3,2,1,4,5,13,office,5,no,absent,yes,4,no,1
sDJ089,46,f,single,Sales,Sales Executive,1,4,4,5,1,21,2,8,18,3,1,2,4,5,9,office,2,no,present,yes,4,no,1
OFn657,29,m,single,Development,Developer,3,1,2,3,3,19,3,8,6,1,4,0,1,3,14,home,3,yes,present,yes,2,yes,3
JAK929,41,f,single,Development,Developer,1,3,2,4,2,8,1,8,4,6,4,3,3,3,14,office,4,yes,present,yes,1,yes,3
Uwj297,33,m,married,Development,Senior Developer,2,4,2,5,4,7,1,8,5,5,4,3,4,5,10,home,4,yes,present,yes,11,yes,4
Arz712,32,f,married,Development,Senior Developer,4,3,2,5,4,6,2,8,6,5,1,5,2,2,6,office,1,no,absent,no,2,yes,4
Trh892,41,f,married,Development,Developer,3,4,2,5,1,14,1,8,4,6,2,1,5,4,4,home,5,no,present,no,4,yes,4
XgX023,29,f,single,Development,Developer,1,4,4,1,1,7,3,8,14,1,3,0,5,5,11,office,3,no,present,yes,14,no,4
bXX969,30,m,married,Human Resources,Human Resources,4,1,2,3,1,17,1,8,13,6,1,1,4,1,14,home,1,no,absent,no,2,no,3
AZk342,37,f,single,Development,Developer,4,2,4,5,4,18,2,8,23,5,2,2,1,5,14,office,2,no,present,no,12,yes,2
dFG859,45,f,married,Development,Developer,3,1,1,1,2,17,4,8,4,6,2,4,4,3,8,home,2,yes,absent,yes,12,yes,4
owH404,50,m,single,Development,Developer,2,2,3,2,3,11,4,8,5,1,2,2,3,1,12,office,0,yes,present,no,6,yes,1
GWK148,50,m,single,Development,Developer,3,2,2,3,3,6,3,8,1,2,2,3,5,3,5,office,5,yes,absent,yes,13,no,3
UxL734,28,f,single,Development,Developer,2,2,2,3,4,20,2,8,2,2,2,3,1,1,5,home,5,no,present,no,9,no,2
pei716,25,m,single,Sales,Sales Executive,4,2,4,4,1,23,3,8,8,4,3,4,3,1,9,office,4,yes,present,yes,5,no,4
OaP593,36,m,married,Sales,Sales Executive,3,1,3,3,1,10,3,8,11,1,1,0,3,4,4,office,0,no,absent,no,8,no,1
wFM723,44,m,married,Development,Developer,4,3,1,1,1,13,3,8,14,5,3,4,4,1,11,office,5,no,present,no,9,no,3
AbM278,39,f,married,Development,Developer,5,1,4,2,4,13,3,8,21,6,2,2,1,1,7,home,1,no,absent,no,3,no,4
hVW684,34,m,married,Development,Developer,2,4,1,3,2,17,3,8,2,6,4,1,3,1,8,home,4,no,absent,yes,8,no,4
hmu239,32,m,married,Sales,Sales Executive,5,2,2,2,4,18,4,8,22,5,2,1,1,1,13,home,1,yes,absent,no,5,no,1
urc689,30,m,married,Development,Developer,5,2,4,4,3,22,2,8,1,4,3,1,3,1,5,office,1,no,absent,no,16,yes,1
Jor649,40,m,single,Development,Developer,1,2,3,5,4,21,3,8,12,1,3,2,3,5,12,office,2,yes,absent,no,5,no,3
Izp476,39,m,single,Sales,Manager,5,2,2,1,3,16,1,8,21,5,1,2,2,3,5,home,4,yes,present,yes,10,yes,3
XBS357,49,f,married,Development,Developer,1,3,2,4,1,16,2,8,18,4,1,5,1,5,10,office,2,no,absent,no,1,no,4
fxX959,34,m,married,Development,Developer,3,3,2,5,2,15,2,8,13,2,4,2,5,1,13,home,3,no,absent,yes,10,yes,1
VGB466,48,m,married,Development,Senior Developer,1,4,4,4,3,9,4,8,25,2,3,0,3,5,7,office,5,yes,present,no,13,no,2
FjH735,25,f,married,Sales,Sales Executive,3,2,2,5,1,9,1,8,15,5,4,2,5,4,9,home,4,no,absent,no,8,no,4
qCC733,25,f,single,Sales,Sales Executive,5,1,3,5,2,17,3,8,9,5,1,0,2,2,7,home,4,yes,present,no,3,no,1
qbt071,49,f,single,Sales,Sales Executive,3,1,1,4,3,24,1,8,1,2,3,3,2,2,13,home,3,yes,present,yes,3,yes,3
uwB343,31,f,married,Development,Developer,2,2,4,1,2,18,1,8,15,3,1,5,1,1,5,office,2,yes,absent,no,6,no,3
EYU339,48,f,married,Sales,Sales Executive,2,3,2,4,2,11,3,8,22,6,1,4,3,4,10,office,2,no,present,yes,4,no,2
UQp181,45,m,single,Human Resources,Human Resources,5,2,1,1,1,24,1,8,12,6,3,4,1,4,6,home,1,no,absent,yes,3,no,2
uhj671,30,m,single,Development,Senior Developer,1,2,2,4,1,5,3,8,25,5,4,2,4,4,14,office,3,yes,present,yes,15,yes,3
zAL577,29,f,married,Development,Developer,2,4,1,4,1,7,1,8,1,4,3,3,5,5,4,office,3,no,present,no,3,yes,1
fJS239,41,m,married,Development,Senior Developer,1,2,1,3,4,13,3,8,7,6,4,0,5,4,11,home,1,yes,absent,no,16,yes,4
YZf825,35,f,single,Human Resources,Human Resources,5,1,1,1,1,8,2,8,7,3,3,1,4,5,12,home,2,yes,present,yes,6,yes,1
rhE075,30,f,single,Sales,Sales Executive,2,3,3,4,1,13,3,8,9,4,4,0,2,4,13,home,5,no,absent,yes,3,yes,3
BzP943,31,f,single,Development,Developer,5,3,2,2,3,15,4,8,12,3,4,2,5,3,6,home,1,no,present,yes,12,yes,2
nqS365,27,m,single,Development,Developer,4,1,1,2,1,11,4,8,10,2,4,0,3,4,9,office,5,no,absent,yes,6,no,3
cdJ389,34,f,married,Data Science,Data Scientist,2,3,3,4,3,24,1,8,6,6,4,5,5,2,14,office,0,no,present,no,12,no,1
Rus513,25,f,married,Development,Senior Developer,3,4,4,4,4,24,3,8,19,5,3,4,4,1,5,office,4,yes,present,yes,12,no,1
oCH960,26,f,married,Sales,Sales Executive,1,4,2,1,3,21,4,8,17,2,3,3,3,4,10,office,5,yes,absent,yes,9,yes,1
bJR752,38,m,single,Sales,Sales Representative,2,2,2,3,1,6,2,8,2,1,1,0,4,4,5,office,2,no,present,no,3,no,2
KiC117,35,m,married,Development,Senior Developer,1,1,2,3,3,23,2,8,2,1,1,0,2,2,6,office,2,yes,absent,no,11,no,3
VxY727,48,f,married,Sales,Sales Executive,2,1,3,5,3,9,2,8,9,4,2,2,1,5,12,office,4,yes,absent,no,16,no,2
aXQ077,34,m,single,Sales,Sales Representative,4,4,4,4,4,8,1,8,10,6,4,3,1,5,4,office,5,no,absent,no,3,no,2
Dla641,32,m,married,Development,Developer,1,4,3,2,2,11,1,8,12,3,2,0,5,2,5,home,5,no,present,yes,15,yes,1
VnE265,46,m,married,Development,Developer,5,1,3,3,1,5,1,8,19,1,1,1,3,2,4,office,0,no,present,yes,9,no,2
YnF916,46,f,single,Sales,Sales Executive,5,3,3,3,4,6,1,8,17,3,2,4,2,3,9,home,2,no,absent,yes,10,yes,2
Kmm258,50,f,single,Sales,Sales Executive,2,4,2,3,1,6,4,8,2,5,2,4,2,5,6,home,4,no,absent,yes,1,yes,2
tUe510,27,m,single,Development,Developer,1,4,3,1,1,19,3,8,11,3,3,1,1,3,11,home,4,no,present,yes,5,no,4
Aph846,25,m,single,Human Resources,Human Resources,5,2,2,5,2,14,1,8,1,1,2,2,5,3,4,office,5,no,absent,no,13,no,3
KWp710,47,m,married,Human Resources,Human Resources,4,1,2,2,2,10,4,8,7,2,2,1,1,3,6,office,5,no,present,no,1,yes,3
oGI210,33,m,married,Development,Developer,5,4,1,1,1,20,3,8,6,3,4,2,1,3,12,office,3,no,absent,yes,14,no,1
Lwm556,38,f,single,Development,Developer,5,4,4,4,4,12,4,8,7,2,2,4,3,3,14,home,2,yes,absent,yes,2,yes,1
GYH678,29,m,single,Development,Developer,2,3,3,4,1,14,1,8,20,1,2,3,2,2,14,office,0,yes,present,yes,15,yes,2
fIC720,25,m,married,Sales,Sales Representative,3,3,4,3,4,10,4,8,25,6,1,2,4,2,8,home,0,yes,absent,no,3,yes,2
SDi084,28,f,married,Data Science,Data Scientist,5,2,2,3,3,21,2,8,11,5,3,4,2,5,11,office,4,no,absent,no,9,no,2
Gky515,34,f,married,Data Science,Data Scientist,4,2,1,1,4,11,3,8,6,6,2,0,2,4,11,home,0,yes,absent,yes,7,yes,4
NHk742,30,f,single,Sales,Sales Representative,2,4,4,1,3,7,4,8,10,1,1,5,1,3,8,home,3,no,absent,no,11,no,4
pWi906,39,m,married,Development,Developer,4,3,4,5,3,8,3,8,13,5,3,1,1,4,6,home,4,yes,absent,no,2,yes,1
pgz436,32,f,single,Development,Developer,3,1,3,3,2,5,4,8,23,4,3,3,4,3,10,home,5,no,absent,yes,12,yes,1
Drf810,28,f,married,Development,Senior Developer,2,4,4,2,4,17,2,8,17,1,2,3,3,4,12,office,4,yes,present,yes,4,no,4
ZYC494,38,f,married,Development,Developer,5,1,2,4,3,11,4,8,20,1,2,1,4,1,4,office,1,no,present,yes,4,yes,2
Hoy495,32,m,single,Development,Developer,4,2,3,1,1,7,2,8,23,5,4,0,4,3,8,office,5,no,present,no,4,yes,2
Yvp161,40,m,married,Sales,Sales Executive,2,1,1,2,4,22,4,8,24,6,3,0,1,5,6,home,4,yes,absent,yes,15,no,1
qeR036,39,f,married,Development,Senior Developer,4,2,2,4,4,23,2,8,5,3,3,5,4,1,14,home,2,yes,absent,yes,11,no,4
who520,30,m,married,Development,Senior Developer,4,2,4,2,4,14,2,8,23,4,3,2,4,3,6,home,3,no,present,yes,13,no,4
keO655,50,f,married,Sales,Sales Representative,5,4,4,2,1,24,2,8,2,3,2,0,2,1,4,home,0,no,absent,yes,14,yes,1
BET811,27,m,single,Development,Senior Developer,4,1,2,2,1,9,2,8,10,3,1,3,1,4,6,home,5,no,present,no,5,no,4
Yhf282,42,f,single,Data Science,Data Scientist,4,2,1,5,3,24,2,8,4,1,4,2,5,3,4,home,0,no,absent,yes,9,yes,2
ZDW013,41,m,single,Sales,Sales Executive,5,2,3,1,3,25,1,8,13,5,1,0,2,2,11,home,2,yes,absent,no,8,yes,4
DtA123,30,m,married,Development,Developer,1,4,4,1,1,24,2,8,11,1,4,4,3,2,6,office,5,yes,present,no,16,yes,3
TmG532,48,m,married,Development,Senior Developer,3,2,2,4,1,19,2,8,21,6,4,2,1,4,12,office,0,no,present,no,3,yes,1
akc326,30,f,single,Development,Senior Developer,3,1,4,5,3,23,4,8,3,5,1,0,1,4,7,home,2,no,absent,no,15,yes,3
kCy138,30,m,single,Sales,Sales Representative,1,4,3,3,1,21,4,8,4,6,1,3,4,5,8,home,4,yes,present,no,7,no,3
rJd006,28,f,married,Development,Developer,2,3,2,1,2,10,4,8,12,2,1,5,5,5,5,home,0,no,absent,yes,4,no,2
jjT555,41,m,single,Development,Developer,1,3,4,3,2,10,2,8,21,3,1,3,5,3,12,office,5,no,absent,no,15,no,4
LMk606,25,m,single,Sales,Sales Representative,2,1,3,2,2,18,3,8,7,3,4,0,2,5,14,office,3,yes,present,yes,4,yes,3
NXV066,44,m,married,Development,Developer,1,3,4,5,3,7,2,8,14,6,4,2,5,5,8,home,4,yes,present,no,5,no,1
SxZ156,29,f,single,Development,Developer,1,4,1,4,3,13,4,8,15,3,3,1,2,4,9,office,0,no,absent,yes,1,yes,2
COu447,47,f,married,Sales,Sales Executive,4,2,2,1,1,25,1,8,20,6,3,4,3,5,8,home,1,yes,present,no,5,yes,1
yGL986,26,m,married,Sales,Sales Executive,2,3,3,5,1,16,1,8,7,2,4,3,2,2,7,office,2,yes,present,no,2,yes,4
alv343,37,m,single,Development,Developer,2,2,1,4,1,5,2,8,20,6,3,0,5,4,13,office,5,yes,present,yes,14,yes,1
Qhu341,28,m,single,Sales,Sales Representative,5,1,3,1,1,17,2,8,11,2,3,4,2,2,10,office,2,yes,absent,yes,10,no,2
CPX321,38,f,married,Sales,Sales Executive,2,1,3,1,3,5,1,8,15,5,2,2,3,2,8,office,4,no,absent,yes,12,yes,3
Kel116,45,f,married,Development,Senior Developer,3,1,1,1,4,21,3,8,7,2,2,3,2,5,6,home,1,yes,absent,yes,11,no,1
AEh902,41,f,single,Sales,Manager,4,3,1,5,1,23,4,8,3,2,3,5,5,1,14,office,4,yes,absent,yes,10,yes,2
PGG513,46,f,married,Sales,Sales Executive,4,4,4,2,3,24,3,8,14,3,2,2,3,4,7,home,2,yes,present,no,5,no,1
rXn690,30,f,married,Sales,Sales Executive,4,2,1,4,3,16,1,8,23,1,1,3,5,4,6,home,2,yes,present,yes,6,no,2
FAs368,36,f,single,Sales,Sales Executive,4,2,4,5,4,13,3,8,2,4,4,1,5,5,12,office,1,yes,absent,no,16,no,3
NWv081,31,m,single,Sales,Sales Executive,2,1,2,4,4,14,3,8,19,3,4,1,4,5,12,home,3,yes,absent,yes,15,yes,3
foR337,34,m,married,Development,Senior Developer,2,3,2,5,2,22,2,8,4,2,3,3,1,2,14,office,4,yes,present,no,16,yes,1
uwq605,36,m,married,Sales,Sales Executive,5,3,4,1,1,15,4,8,8,6,3,1,4,4,14,office,3,yes,absent,no,16,no,4
Bkz147,44,f,single,Development,Developer,2,4,2,2,3,22,3,8,6,5,3,0,2,4,5,office,3,no,present,yes,6,yes,3
ROe306,29,f,single,Sales,Manager,2,2,4,5,2,9,4,8,12,3,3,3,3,2,13,home,4,yes,present,yes,16,yes,1
zZW260,33,f,single,Development,Developer,1,4,3,3,1,8,2,8,7,2,4,3,2,3,12,home,1,no,present,no,7,yes,1
gUp917,26,m,married,Development,Developer,1,3,1,1,4,12,1,8,6,5,4,1,1,5,12,office,2,no,present,yes,13,yes,2
dss037,25,f,single,Development,Developer,2,2,4,1,3,8,2,8,25,4,2,2,4,3,8,home,4,yes,absent,yes,16,yes,3
Nwo557,33,f,single,Development,Senior Developer,3,2,4,1,3,17,2,8,20,1,4,3,2,4,11,home,1,no,present,no,6,no,1
PxN899,50,f,married,Development,Developer,3,3,3,2,3,16,4,8,22,3,4,3,4,4,11,office,4,yes,present,no,9,yes,1
PbF108,45,m,single,Development,Developer,1,2,3,4,3,16,2,8,9,3,1,2,3,2,14,home,5,no,present,no,1,yes,1
JUE939,44,f,married,Development,Developer,3,1,2,2,1,22,2,8,10,5,3,1,5,4,8,home,1,no,absent,yes,14,yes,2
SPQ689,26,m,married,Sales,Sales Executive,2,2,3,3,2,10,4,8,5,5,3,3,3,1,14,office,0,yes,present,yes,15,yes,2
urw759,49,m,single,Development,Developer,4,2,3,5,4,16,1,8,21,3,1,3,1,4,9,office,2,yes,absent,no,16,no,4
CcD864,48,f,single,Development,Developer,4,2,3,4,3,21,1,8,13,3,2,1,4,2,7,home,0,yes,present,no,8,yes,1
PRG306,40,f,married,Research & Development,Senior Manager R&D,2,1,1,3,1,25,3,8,9,2,1,2,1,2,8,home,5,no,absent,yes,6,yes,3
wgW815,43,m,married,Research & Development,Laboratory Technician,1,3,1,2,3,13,2,8,13,6,3,0,1,4,12,office,2,no,absent,yes,16,no,3
WKa710,44,m,married,Research & Development,Manufacturing Director,5,3,4,4,-3,20,3,8,15,6,1,0,2,4,5,office,2,yes,absent,yes,5,yes,4
UxQ264,39,m,married,Research & Development,Research Scientist,4,2,3,5,4,8,4,8,20,3,3,1,3,5,6,home,4,yes,present,no,4,yes,4
YeC055,25,m,single,Research & Development,Senior Manager R&D,5,3,2,1,2,8,1,8,4,2,3,5,1,4,12,home,4,yes,present,yes,8,yes,3
OZX655,43,m,married,Research & Development,Healthcare Representative,1,3,3,4,1,7,4,8,8,2,1,2,1,1,6,office,3,yes,absent,yes,13,yes,1
aJl594,31,m,single,Research & Development,Research Director,5,2,3,5,1,14,2,8,17,6,4,3,1,4,4,office,3,yes,absent,yes,13,yes,1
kuv726,26,m,married,Research & Development,Senior Manager R&D,4,2,2,2,3,7,3,8,3,5,2,3,3,1,5,home,1,yes,present,no,16,yes,2
cVB298,48,f,married,Research & Development,Laboratory Technician,2,4,1,3,1,18,1,8,16,6,3,0,2,4,8,home,5,no,present,yes,7,no,4
fts945,34,f,single,Research & Development,Healthcare Representative,3,1,1,5,2,13,2,8,16,2,1,3,4,5,13,office,3,yes,present,no,11,yes,3
DlP688,32,m,single,Research & Development,Senior Manager R&D,5,1,2,1,1,7,4,8,10,6,3,0,2,3,12,office,3,no,present,yes,15,yes,2
LGc167,29,f,married,Research & Development,Manufacturing Director,4,3,1,3,1,10,3,8,10,3,2,0,5,3,13,office,5,no,present,yes,13,no,4
Sjd030,38,f,married,Research & Development,Manufacturing Director,2,1,1,3,2,17,3,8,11,4,3,4,3,1,5,office,0,no,absent,yes,1,yes,1
roX333,27,m,married,Research & Development,Senior Manager R&D,5,1,4,4,3,19,3,8,16,6,1,2,1,3,5,home,5,no,absent,yes,15,no,1
nBR542,40,m,single,Research & Development,Laboratory Technician,1,1,4,5,1,10,4,8,21,6,1,3,5,3,11,office,0,yes,absent,yes,6,no,2
Bfk239,26,m,single,Sales,Manager,3,1,4,5,1,19,2,8,9,5,1,2,1,2,4,home,5,no,absent,no,7,no,2
uDD634,30,m,married,Research & Development,Laboratory Technician,3,4,3,3,4,17,3,8,18,2,4,0,5,4,14,office,0,yes,present,no,4,no,1
oOF850,32,m,single,Research & Development,Manufacturing Director,1,3,2,1,4,23,3,8,21,1,4,3,3,2,4,office,5,yes,absent,yes,16,yes,2
vqu401,39,f,single,Research & Development,Healthcare Representative,1,4,4,3,4,13,1,8,11,6,2,1,4,2,8,office,5,yes,present,no,16,yes,2
seF949,39,f,single,Research & Development,Research Director,2,1,3,2,4,16,2,8,9,2,1,1,5,1,5,office,5,no,absent,no,5,yes,3
tVk858,30,f,married,Sales,Sales Executive,1,3,2,1,2,8,4,8,13,1,4,4,5,4,12,office,3,no,present,yes,2,no,3
jQi065,41,m,single,Sales,Sales Executive,1,2,3,1,3,7,2,8,3,4,3,2,1,2,7,home,4,yes,absent,no,13,yes,4
YJa960,25,m,married,Sales,Manager,2,4,1,3,4,20,3,8,3,3,2,0,4,4,7,home,0,yes,present,yes,7,yes,3
Sfh132,25,m,single,Sales,Sales Executive,2,3,4,5,2,7,4,8,18,3,3,5,4,1,6,office,3,yes,present,yes,1,yes,2
jBI902,28,m,single,Sales,Sales Executive,2,1,2,3,4,19,4,8,18,6,1,1,5,5,5,office,2,no,present,no,15,no,2
lWp464,42,m,single,Research & Development,Manufacturing Director,3,4,3,4,1,23,3,8,23,6,4,2,2,3,11,home,3,no,present,yes,8,yes,2
Nxq381,45,f,single,Sales,Sales Representative,1,1,1,5,3,17,3,8,19,2,3,2,5,4,6,home,0,no,absent,yes,4,yes,1
XxY813,27,m,married,Sales,Manager,5,4,2,2,2,24,2,8,14,6,2,1,4,4,7,office,2,no,present,yes,13,yes,3
jyu859,45,f,single,Research & Development,Senior Manager R&D,3,2,4,5,1,20,4,8,8,6,3,1,3,1,7,home,5,yes,present,no,14,no,3
qOW057,37,f,single,Sales,Sales Executive,1,1,2,5,1,18,1,8,1,3,2,0,4,1,4,office,0,yes,absent,no,11,no,1
tEv022,33,f,married,Sales,Manager,5,4,4,3,4,18,3,8,11,1,2,4,2,5,8,office,4,yes,absent,yes,10,no,3
xUj413,26,m,married,Human Resources,Human Resources,1,4,2,5,3,22,3,8,8,4,3,2,3,3,8,home,0,yes,absent,no,6,yes,3
aVV717,45,m,married,Research & Development,Laboratory Technician,4,3,2,1,3,7,2,8,3,1,2,1,3,4,13,office,2,yes,present,yes,8,yes,2
mfI645,34,f,single,Research & Development,Research Scientist,3,3,4,2,1,13,4,8,5,1,2,3,1,5,6,home,3,no,present,yes,6,yes,2
iMU673,38,f,single,Sales,Sales Representative,3,1,2,3,2,25,2,8,3,6,3,4,3,4,11,home,2,yes,present,no,15,yes,4
BsU388,49,m,single,Research & Development,Senior Manager R&D,3,4,3,1,2,5,1,8,7,5,3,2,5,1,7,home,5,yes,present,yes,14,yes,3
gDv581,47,m,single,Research & Development,Senior Manager R&D,1,3,3,3,2,6,3,8,24,4,3,3,4,3,8,office,3,yes,absent,no,11,yes,1
cqX406,35,f,married,Research & Development,Healthcare Representative,1,4,3,5,2,17,4,8,16,5,2,1,1,5,4,office,0,yes,absent,no,3,no,2
Qoo722,32,f,married,Sales,Sales Executive,4,1,4,1,3,13,2,8,25,5,4,1,3,1,14,office,2,yes,present,yes,3,yes,4
eVQ816,47,f,married,Research & Development,Research Scientist,4,3,3,5,2,18,1,8,6,4,4,5,3,1,5,office,3,no,absent,yes,5,yes,1
iXz718,46,f,married,Sales,Sales Executive,1,2,2,1,1,7,4,8,15,5,1,4,4,5,10,office,3,no,absent,no,2,yes,1
nnM718,34,m,married,Research & Development,Senior Manager R&D,1,2,1,1,3,6,3,8,3,3,3,5,1,5,5,home,2,yes,present,no,16,no,1
pzb109,36,f,single,Research & Development,Manufacturing Director,3,1,3,5,1,12,1,8,23,3,1,5,2,3,8,home,0,no,present,no,13,no,4
xAT357,30,m,married,Research & Development,Manager,2,1,3,5,3,8,4,8,5,1,1,0,2,2,10,office,0,yes,present,no,4,yes,1
sHs494,44,m,single,Sales,Sales Executive,2,2,2,2,1,5,3,8,10,3,2,2,2,1,4,office,3,yes,present,no,10,no,4
oZl486,41,m,married,Sales,Sales Representative,4,3,2,5,4,6,2,8,15,6,4,5,4,2,8,home,1,yes,present,no,8,no,3
aee809,46,f,married,Research & Development,Senior Manager R&D,3,1,1,5,2,6,1,8,21,5,2,4,5,5,13,home,5,yes,present,no,10,no,4
QJX409,27,f,married,Research & Development,Senior Manager R&D,1,3,1,5,3,10,3,8,6,5,1,4,2,1,12,office,3,yes,present,yes,1,yes,3
Ssw750,25,f,single,Research & Development,Senior Manager R&D,1,1,2,1,1,11,2,8,7,1,4,2,4,5,14,office,0,yes,absent,no,4,yes,3
MtL567,33,m,single,Research & Development,Laboratory Technician,5,2,2,5,1,21,4,8,5,4,3,2,1,4,4,home,1,yes,present,yes,12,yes,4
vqC583,41,m,single,Research & Development,Senior Manager R&D,4,2,4,3,1,12,4,8,17,5,4,1,2,2,4,office,0,no,absent,no,1,yes,2
gDB058,26,f,married,Research & Development,Healthcare Representative,5,3,3,4,2,5,4,8,25,5,2,0,3,1,14,office,5,yes,present,no,15,no,3
CVo505,48,m,married,Research & Development,Senior Manager R&D,2,1,4,4,2,7,1,8,25,6,2,4,3,4,10,home,0,yes,absent,yes,13,yes,1
uPo129,28,m,single,Research & Development,Senior Manager R&D,4,2,1,4,3,13,2,8,5,4,4,2,2,1,9,home,5,yes,present,yes,10,yes,2
SJZ180,39,f,single,Research & Development,Manager R&D,1,3,3,3,3,14,3,8,25,2,4,0,5,1,7,home,4,yes,present,yes,7,no,3
Crg187,44,f,single,Human Resources,Human Resources,3,4,1,5,2,13,3,8,21,2,2,5,3,5,13,office,2,yes,present,yes,7,no,1
AJT812,36,f,married,Research & Development,Research Scientist,1,1,1,5,1,8,1,8,13,5,4,2,5,2,6,home,0,yes,present,yes,3,no,3
BKd410,28,m,married,Research & Development,Healthcare Representative,4,2,1,1,1,12,1,8,16,3,3,3,3,3,13,home,3,yes,absent,no,15,no,3
WFV627,38,f,single,Research & Development,Manager R&D,3,3,2,5,4,14,3,8,15,5,3,0,2,1,10,office,2,yes,absent,yes,1,yes,2
eUS426,46,m,single,Research & Development,Manager R&D,1,2,2,3,1,23,2,8,9,6,2,3,5,5,14,office,1,yes,present,yes,15,yes,1
toX438,34,m,married,Research & Development,Manager,3,3,2,1,4,19,2,8,22,1,2,5,1,4,4,home,2,no,absent,no,10,no,2
Snj619,45,f,single,Research & Development,Manager R&D,5,2,3,5,2,24,3,8,21,1,2,1,1,2,6,office,0,yes,present,no,11,yes,4
bCG551,45,f,married,Sales,Sales Executive,5,3,1,2,2,12,2,8,15,4,4,3,5,3,5,home,0,no,present,yes,12,yes,3
EXR268,45,m,single,Sales,Sales Executive,3,2,4,5,2,15,4,8,9,3,2,0,5,3,13,home,3,yes,present,no,10,yes,2
TdW425,25,m,married,Research & Development,Research Scientist,5,2,2,3,1,5,2,8,12,3,3,4,5,5,11,office,5,yes,absent,yes,14,yes,2
EBN020,36,m,married,Research & Development,Manager R&D,2,3,4,2,3,12,3,8,25,5,3,5,5,3,10,home,2,yes,present,no,2,no,4
TaO489,49,f,married,Sales,Sales Executive,4,1,3,1,4,20,4,8,23,5,2,3,4,3,13,office,0,yes,present,no,6,no,3
bVH203,34,m,single,Research & Development,Healthcare Representative,5,3,3,2,4,18,2,8,4,4,2,1,2,2,10,home,1,no,present,yes,7,yes,4
Abo470,48,f,married,Sales,Sales Executive,5,1,1,1,3,9,2,8,1,5,1,1,5,3,9,office,5,yes,present,no,8,yes,4
uME379,41,f,married,Research & Development,Manager R&D,3,3,1,2,1,16,1,8,5,6,3,5,2,1,13,home,3,yes,present,yes,10,yes,3
OdO741,30,f,married,Research & Development,Manufacturing Director,3,1,2,2,3,20,3,8,19,1,1,2,5,2,14,home,4,no,absent,yes,13,no,3
SGx706,44,m,married,Sales,Manager,3,1,2,3,2,22,2,8,18,4,4,3,5,1,10,office,5,no,present,yes,14,no,2
DDB112,42,f,single,Sales,Sales Executive,4,1,2,3,2,17,1,8,19,2,2,1,1,3,8,home,5,yes,absent,yes,5,yes,4
